GPE,WASHINGTON/BEIJING
GPE,U.S.
GPE,China
GPE,American
GPE,Beijing
GPE,Huawei
GPE,U.S.
GPE,Chinese
GPE,American
GPE,Trump
GPE,U.S.
PERSON,Huawei
GPE,U.S.
GPE,American
GPE,American
PERSON,Huawei
GPE,U.S.
GPE,U.S.-China
GPE,Chinese
GPE,Washington
GPE,United States
GPE,Chinese
GPE,Beijing
GPE,U.S.
ORGANIZATION,Commerce Ministry
PERSON,Gao Feng
GPE,United States
GPE,China
GPE,Chinese
PERSON,Gao
GPE,China
ORGANIZATION,Foreign Ministry
GPE,Canadian
GPE,Canada
PERSON,Meng Wanzhou
PERSON,Meng
GPE,United States
GPE,Huawei
GPE,CoverageU.S
PERSON,Commerce Department
GPE,Canada
GPE,China
PERSON,Meng
GPE,Canada
PERSON,ECONOMIC FALLOUT
GPE,U.S. Commerce Department
GPE,U.S.
GPE,U.S. Congress
GPE,Huawei
GPE,Chinese
GPE,Americans
GPE,Trump
ORGANIZATION,Republican
PERSON,Marco Rubio
PERSON,Huawei
GPE,Huawei
PERSON,Samsung Electronics Co Ltd
PERSON,Apple Inc
GPE,Gartner
PERSON,Susquehanna Financial Group
PERSON,Christopher Rolland
GPE,U.S.
GPE,Xilinx Inc. Shares
GPE,Xilinx
PERSON,Qualcomm Inc
GPE,Huawei
GPE,Tianjin
GPE,China May
PERSON,REUTERS/Jason LeeThere
GPE,U.S.-China
PERSON,Walmart Inc
GPE,Chinese
PERSON,Walmart Chief Financial Officer Brett Biggs
PERSON,TARIFFS
GPE,United States
GPE,Chinese
GPE,MISSING)China
GPE,U.S.
GPE,U.S.
PERSON,Donald Trump
GPE,China
GPE,Chinese
GPE,U.S.
GPE,China
GPE,United States
PERSON,M&A
PERSON,Stacy Rasgon
PERSON,Bernstein
GPE,United States
GPE,China
GPE,Beijing
GPE,Tianjin
GPE,China May
PERSON,REUTERS/Jason LeeThe
GPE,U.S.
GPE,China
GPE,China
GPE,Chinese
GPE,U.S.
GPE,China
GPE,African
PERSON,Yawen Chen
PERSON,Se Young Lee
PERSON,Diane Bartz
GPE,Additional
PERSON,David Shepardson
GPE,Washington
PERSON,Stephen Nellis
PERSON,Noel Randewich
GPE,San Francisco
PERSON,Arjun Panchadar
GPE,Bengaluru
PERSON,Chris Sanders
PERSON,Paul Simao
PERSON,Sonya Hepinstall
PERSON,Peter CooneyOur Standards:The Thomson
GPE,Huawei
PERSON,"Viva Tech,in Paris"
GPE,France May
PERSON,REUTERS/Charles PlatiauWASHINGTON
GPE,Reuters
GPE,U.S. Commerce Department
GPE,Huawei
GPE,American
GPE,U.S.
ORGANIZATION,Department
GPE,Huawei
GPE,Canada
GPE,Japan
GPE,Brazil
GPE,United Kingdom
GPE,Singapore
GPE,U.S.
GPE,U.S.
GPE,Huawei
GPE,United States
GPE,Brooklyn
GPE,New York
GPE,Huawei
GPE,U.S.
GPE,Huawei
ORGANIZATION,Congress
GPE,Huawei
GPE,U.S.
GPE,Washington
PERSON,Douglas Jacobson
GPE,U.S.
GPE,Huawei
GPE,Huawei
GPE,U.S.
PERSON,Jacobson
PERSON,David Shepardson
PERSON,Karen Freifeld
PERSON,Jonathan Oatis
PERSON,Grant McCoolOur Standards:The Thomson
GPE,WASHINGTON
GPE,Reuters
GPE,U.S. President Donald Trump
GPE,United States
GPE,Iran
GPE,Switzerland President Ueli Maurer
GPE,U.S. President Donald Trump
GPE,Swiss Federal President Ueli Maurer
FACILITY,White House
GPE,Washington
GPE,U.S.
PERSON,REUTERS/Carlos BarriaAsked
GPE,Washington
GPE,Tehran
PERSON,Trump
PERSON,Maurer
FACILITY,White House
GPE,U.S.-Iran
GPE,United States
GPE,Baghdad
GPE,Switzerland
GPE,United States
GPE,Iran
FACILITY,White House
GPE,Middle East
GPE,Venezuela
PERSON,Trump
GPE,Switzerland
GPE,United States
GPE,Washington Post
GPE,U.S.
PERSON,Trump
GPE,Iran
GPE,CoverageU.S
ORGANIZATION,Congress
GPE,Iran
ORGANIZATION,sourcesWalmart
GPE,China
GPE,U.S.
ORGANIZATION,House
PERSON,Sarah Sanders
PERSON,Fox News Channel
PERSON,Fox
PERSON,Trump
GPE,American
GPE,American
GPE,U.S. House Speaker Nancy Pelosi
PERSON,Trump
GPE,Tehran
PERSON,Steve Holland
PERSON,Susan Heavey
PERSON,Richard Chang
PERSON,Cynthia OstermanOur Standards:The Thomson
PERSON,Walmart Inc
GPE,China
GPE,Bentonville
PERSON,Macy
PERSON,Inc
PERSON,Gennette
GPE,Chinese
GPE,U.S. President Donald Trump
GPE,Chinese
GPE,China
PERSON,Walmart Chief Financial Officer Brett Biggs
PERSON,Moody
PERSON,Charlie O
PERSON,Walmart
PERSON,Walmart
PERSON,Walmart U.S. Chief Executive Officer Greg Foran
PERSON,Walmart
GPE,Foods
GPE,Walmart
GPE,China
PERSON,Walmart
PERSON,FILE PHOTO
PERSON,Walmart
GPE,New York Stock Exchange
GPE,New York
GPE,U.S.
PERSON,REUTERS/Lucas Jackson/File PhotoNO SIGNS
PERSON,Walmart CFO Biggs
GPE,U.S.
GPE,U.S.
PERSON,Walmart
ORGANIZATION,Amazon.com Inc
PERSON,Amazon
PERSON,Walmart
PERSON,Walmart
GPE,U.S.
GPE,IBES
GPE,Refinitiv
PERSON,Walmart
PERSON,Walmart
GPE,Indian e-commerce
GPE,United States
PERSON,Walmart
PERSON,FILE PHOTO
PERSON,Walmart
GPE,Chicago
GPE,Illinois
GPE,U.S.
PERSON,REUTERS/Kamil Krzaczynski/File Photo Online
PERSON,Walmart
GPE,British
GPE,Asda
PERSON,Nandita Bose
GPE,Washington
GPE,Additional
PERSON,Rod Nickel
PERSON,Jeffrey Benkoe
PERSON,Dan GreblerOur Standards:The Thomson
GPE,WASHINGTON
GPE,Reuters
GPE,U.S. President Donald Trump
GPE,Iran
ORGANIZATION,Democratic
ORGANIZATION,Republican
PERSON,Mike Pompeo
PERSON,Joint Chiefs
PERSON,Joseph Dunford
GPE,Defense Patrick Shanahan
ORGANIZATION,Senate
PERSON,Trump
ORGANIZATION,Senate
ORGANIZATION,House
GPE,Representatives
ORGANIZATION,Democrats
GPE,Pompeo
GPE,U.S. Congress
PERSON,Trump
GPE,Iran
GPE,Washington
GPE,Tehran
PERSON,Trump
GPE,Iran
GPE,U.S.
GPE,Iranian
GPE,Washington
GPE,Baghdad
PERSON,Trump
PERSON,United States
PERSON,Patricia ZengerleOur Standards:The Thomson
GPE,LONDON
GPE,British
PERSON,Theresa May
GPE,Brexit
ORGANIZATION,Conservative
GPE,Britain
PERSON,Theresa May
PERSON,Downing Street
GPE,Brexit
GPE,London
GPE,Britain May
PERSON,REUTERS/Hannah MckayThree
GPE,Britain
GPE,European Union
GPE,Brexit
GPE,Brexit
GPE,European Union
PERSON,Graham Brady
LOCATION,Withdrawal Agreement Bill
PERSON,May
GPE,Brexit
GPE,Bill
PERSON,Brady
PERSON,Britons
GPE,EU
ORGANIZATION,Conservative
PERSON,Brady
PERSON,Boris Johnson
GPE,Britain
GPE,European Union
ORGANIZATION,Conservative
PERSON,FURTHER
PERSON,May
GPE,Brexit
ORGANIZATION,Party
GPE,Brexit
GPE,Britain
GPE,EU
PERSON,May
GPE,European Parliament
ORGANIZATION,Conservative
PERSON,May
ORGANIZATION,Conservative Party
PERSON,Andrew Bridgen
GPE,EU
PERSON,Kate Holton
PERSON,Guy Faulconbridge
PERSON,Hugh Lawson
PERSON,James DalgleishOur Standards:The Thomson
GPE,LOS ANGELES
GPE,Reuters
PERSON,Harry
GPE,Meghan
GPE,British
PERSON,FILE PHOTO
GPE,Britain
GPE,Meghan
ORGANIZATION,Duchess
GPE,Sussex
GPE,King
PERSON,College London
GPE,London
GPE,Britain March 8
PERSON,Daniel
GPE,REUTERSHer
PERSON,Daniel Martin
ORGANIZATION,Duchess
GPE,Sussex
GPE,American
PERSON,Martin
GPE,United States
PERSON,Harry
GPE,Meghan
PERSON,"Duchess Difficult """
GPE,British
GPE,Meghan
GPE,Meghan
PERSON,Harry
PERSON,William
PERSON,Martin
ORGANIZATION,I've
ORGANIZATION,I've
GPE,Britain
PERSON,Buckingham Palace
GPE,Palace
GPE,March
GPE,Meghan
GPE,American
PERSON,Janina Gavankar
PERSON,Martin
PERSON,Meghan
GPE,New York
GPE,February
PERSON,Gavankar
GPE,U.S.
PERSON,Gayle King
PERSON,Meghan
PERSON,Harry Plus One
GPE,Archie
PERSON,Jill Serjeant
PERSON,David GregorioOur Standards:The Thomson
GPE,LONDON
GPE,Brexit
GPE,Party
PERSON,FILE PHOTO
GPE,British Foreign Secretary Boris Johnson
GPE,Parliament
GPE,London
GPE,Britain
PERSON,BORIS JOHNSON
GPE,Brexit
PERSON,Johnson
GPE,Brexit
GPE,October
PERSON,BBC
GPE,British Insurance Brokers
GPE,European Union
PERSON,McVey
PERSON,ANDREA LEADSOM
PERSON,David Cameron
PERSON,STEWART
GPE,Iran
GPE,Afghanistan
GPE,Pakistan
GPE,India
GPE,Nepal
PERSON,Stewart
ORGANIZATION,International Development Secretary
PERSON,Eton College
PERSON,Stewart
GPE,EU
GPE,Brussels
GPE,Brexit
GPE,Brexiteer
PERSON,MICHAEL GOVE
GPE,Brexit
GPE,Cameron
GPE,Brexit
PERSON,Gove
PERSON,Johnson
GPE,Brexit
PERSON,Johnson
PERSON,JEREMY HUNT
PERSON,Hunt
PERSON,Johnson
GPE,Brexit
GPE,EU
PERSON,Hunt
GPE,EU
GPE,Britain
PERSON,Wait
PERSON,DOMINIC RAAB
PERSON,Raab
GPE,Brexit
GPE,Party
PERSON,Raab
GPE,Brexit
PERSON,Raab
GPE,Brexit
PERSON,SAJID JAVID
GPE,Javid
GPE,Pakistani
PERSON,Margaret Thatcher
PERSON,Javid
PERSON,DAVID DAVIS
GPE,Davis
GPE,Brexit
GPE,EU
GPE,Cameron
GPE,Party
PERSON,PENNY MORDAUNT
PERSON,Mordaunt
GPE,Britain
PERSON,Mordaunt
LOCATION,Caribbean
PERSON,MATT HANCOCK
PERSON,Hancock
ORGANIZATION,Bank
GPE,England
PERSON,JUSTINE GREENING
GPE,Brexit
GPE,Slideshow
GPE,Treasury
PERSON,Truss
GPE,Brexit
PERSON,GRAHAM BRADY
PERSON,Brady
PERSON,BBC Radio
PERSON,Kylie MacLellan
PERSON,William James
PERSON,Guy Faulconbridge
PERSON,Janet LawrenceOur Standards:The Thomson
GPE,Britain
PERSON,Theresa May
PERSON,NATO Secretary General Jens Stoltenberg
PERSON,Downing Street
GPE,London
GPE,Britain
GPE,Reuters
GPE,British
PERSON,Theresa May
GPE,Brexit
GPE,European Union
LOCATION,Withdrawal Agreement Bill
GPE,Bill
GPE,United Kingdom
GPE,European Union
PERSON,Graham Brady
GPE,Bill
ORGANIZATION,Unionist Party
GPE,London
PERSON,Kylie MacLellanOur Standards:The Thomson
GPE,LONDON
GPE,Brexit
PERSON,Theresa May
ORGANIZATION,Labour Party
GPE,Brexit
ORGANIZATION,BBC
ORGANIZATION,Labour Party
GPE,European Union
GPE,Britain
PERSON,Nicholas Watt
ORGANIZATION,BBC Newsnight
GPE,EU
GPE,Brexiteers
PERSON,Kate Holton
PERSON,Toby ChopraOur Standards:The Thomson
GPE,NEW YORK
PERSON,Cisco
PERSON,Walmart
GPE,U.S.
GPE,New York Stock Exchange
GPE,NYSE
GPE,New York
GPE,U.S.
GPE,McDermidA
GPE,U.S.-China
GPE,U.S. President Donald Trump
GPE,Trump
GPE,Chinese
GPE,Huawei
PERSON,Keith Lerner
ORGANIZATION,SunTrust Advisory
GPE,Atlanta
GPE,China
PERSON,Lerner
PERSON,Wall Street
PERSON,Jones Industrial Average
ORGANIZATION,Nasdaq Composite
PERSON,Cisco Systems
PERSON,Walmart
PERSON,Cisco
PERSON,Walmart
ORGANIZATION,MISSING)The Philadelphia
GPE,Huawei
ORGANIZATION,pan-European
GPE,MISSING)Germany
PERSON,DAX
ORGANIZATION,9.4%!a(MISSING)fter
GPE,Finnish
PERSON,Kone
GPE,German
PERSON,MSCI
GPE,MISSING)U.S
GPE,April
GPE,Americans
GPE,U.S. Treasury
PERSON,Benchmark
ORGANIZATION,2.379%!l(MISSING)ate
PERSON,Lou Brien
FACILITY,DRW Trading
GPE,U.S.
GPE,European parliamentary
GPE,New York Stock Exchange
GPE,NYSE
GPE,New York
GPE,U.S.
PERSON,Middle East
GPE,Yemen
GPE,U.S.
PERSON,Brent
GPE,tmsnrt.rs/2egbfVh
PERSON,Karen Brettell
PERSON,Kate Duguid
GPE,New York
PERSON,Dan Grebler
PERSON,James DalgleishOur Standards:The Thomson
GPE,DUBAI
GPE,Reuters
LOCATION,Dubai
GPE,South African
LOCATION,Dubai Civil Aviation Authority
GPE,United Kingdom
PERSON,Air
PERSON,Ahmed Tolba
PERSON,Stephen Kalin
PERSON,Janet LawrenceOur Standards:The Thomson
GPE,WASHINGTON
GPE,Reuters
PERSON,Hatice Cengiz
PERSON,Jamal Khashoggi
GPE,Saudi Arabian
GPE,Turkey
PERSON,Hatice Cengiz
PERSON,Jamal Khashoggi
PERSON,House Foreign Affairs
ORGANIZATION,Dangers
PERSON,Human Rights
PERSON,Capitol Hill
GPE,Washington U.S.
PERSON,"REUTERS/Kevin Lamarque""I"
PERSON,Cengiz
PERSON,U.S. House
ORGANIZATION,Representatives Foreign Affairs
GPE,Turkish
PERSON,Cengiz
GPE,Khashoggi
GPE,U.S.
GPE,Washington Post
GPE,Saudi
GPE,Istanbul
GPE,Saudi
GPE,Crown Prince Mohammed
PERSON,Salman
GPE,Saudi
PERSON,Cengiz
PERSON,Saudi Arabia
GPE,Washington
GPE,U.S.
PERSON,Khashoggi
GPE,Saudi
PERSON,Riyadh
PERSON,Cengiz
GPE,Washington
PERSON,Donald Trump
PERSON,White House
PERSON,Cengiz
PERSON,White House
PERSON,Trump
PERSON,Saudi Arabia
GPE,Middle East
GPE,United States
PERSON,Cengiz
GPE,United States
PERSON,Patricia Zengerle
PERSON,Jonathan OatisOur Standards:The Thomson
GPE,LONDON
GPE,Embattled British
PERSON,Metro Bank
PERSON,FILE PHOTO
PERSON,Metro Bank
LOCATION,London July
PERSON,REUTERS/Toby Melville//File PhotoThe
PERSON,Metro Bank
PERSON,Metro
PERSON,Fidelity Management
GPE,Research
PERSON,Metro Bank
PERSON,Metro
PERSON,Metro Bank
PERSON,Metro Bank
GPE,American
PERSON,Vernon Hill
PERSON,CEO Craig Donaldson
PERSON,CFO David Arden
PERSON,RBC
PERSON,Jefferies
PERSON,KBW
GPE,Chief Executive Craig Donaldson
PERSON,Metro Bank
PERSON,Metro Bank
PERSON,John Cronin
GPE,Goodbody
PERSON,Metro Bank
PERSON,RoE [
PERSON,Prudential Regulation Authority
PERSON,Metro
GPE,Britain
PERSON,Iain Withers
PERSON,Pamela Barbaglia
PERSON,Sinead Cruise
PERSON,Kirstin Ridley
PERSON,Elaine Hardcastle
PERSON,Alexandra HudsonOur Standards:The Thomson
GPE,ATMEH
GSP,Syria
GPE,Reuters
GPE,Syrian
GPE,Russian
GSP,Syria
GPE,Turkish
GPE,Syrian
GPE,Atmeh
LOCATION,Idlib
GSP,Syria May
PERSON,REUTERS/Khalil AshawiThey
GPE,Syrian
PERSON,Bashar
PERSON,God
PERSON,Aziza
PERSON,Aziza
LOCATION,Idlib
LOCATION,Hama
GPE,Turkish
GPE,Atmeh
PERSON,Aziza
PERSON,Kfar Nabuda
GPE,Tahrir al-Sham
PERSON,Rebels
GPE,Syrian
PERSON,AIR STRIKES Air
ORGANIZATION,U.N.
PERSON,Najat Rochdi
GPE,Geneva
PERSON,Medical
PERSON,UOSSM
ORGANIZATION,Tarmala Maternity
GPE,Children
ORGANIZATION,Hospital
GPE,Syrian
GPE,Russian-Turkish
GPE,Ankara
GPE,Russia
GPE,Syrian
GPE,Turkey
GPE,Syrian
PERSON,Abu Abdo al-Khani
GPE,Ankara
GPE,Moscow
GPE,Slideshow
PERSON,Khani
GPE,Turkish President
PERSON,Erdogan
PERSON,Khani
PERSON,Khan Sheikhoun
PERSON,Ellen Francis
PERSON,Tom Miles
GPE,Geneva
PERSON,Tom Perry
PERSON,Janet LawrenceOur Standards:The Thomson
GPE,SANAA
GPE,Reuters
ORGANIZATION,Saudi-led military
GPE,Yemen
ORGANIZATION,Houthi-held
GPE,Sanaa
GPE,Iranian-aligned
GPE,Saudi
ORGANIZATION,Saudi-led
GPE,Sanaa
GPE,Yemen
ORGANIZATION,al-SayaghiThe Sanaa
PERSON,Rubble
ORGANIZATION,Houthi-run Masirah
GPE,Houthi
GPE,Russian
PERSON,Medecins Sans Frontieres
GPE,Sanaa
ORGANIZATION,U.N.
GPE,Yemen
ORGANIZATION,Saudi-owned Al Arabiya
PERSON,Sunni Muslim
GPE,Houthi
GPE,Hael
GPE,Raqas
PERSON,Abdulrazaq Mohammed
GPE,Sanaa
GPE,Houthi
PERSON,Abd-Rabbu Mansour Hadi
GPE,"IRANIAN TOOLS "" Saudi Arabia"
GPE,Iran
PERSON,Tehran
GPE,Houthis
PERSON,Salman
ORGANIZATION,Houthis
PERSON,Tehran
GPE,Iran
ORGANIZATION,Houthis
PERSON,Supreme Revolutionary Committee
GPE,Iran
PERSON,Tehran
PERSON,Mohammed Ali
GPE,United Arab Emirates
ORGANIZATION,Western-backed
GPE,Houthi
GPE,Sanaa
GPE,Yemen
GPE,Hodeidah
ORGANIZATION,U.N.-sponsored
LOCATION,Red Sea
GPE,Western
GPE,Yemen
PERSON,Hadi
ORGANIZATION,Aden-based
GPE,Slideshow
ORGANIZATION,U.N.-sponsored
GPE,Hodeidah
GPE,Yemenis
PERSON,Martin Griffiths
ORGANIZATION,Houthis
GPE,Hodeidah
GPE,Yemen
ORGANIZATION,Houthis
PERSON,Mohammed Ghobari
GPE,Aden
GPE,Sanaa
PERSON,Asma Alsharif
PERSON,Lisa Barrington
GPE,Dubai
PERSON,Ghaida Ghantous
PERSON,Angus MacSwan
PERSON,Toby ChopraOur Standards:The Thomson
GPE,Boeing Co
PERSON,FILE PHOTO
GPE,Boeing
GPE,Renton
GPE,Washington
GPE,U.S.
PERSON,REUTERS/Lindsey Wasson/File PhotoThe
ORGANIZATION,Federal Aviation Administration
GPE,Boeing
PERSON,FAA
PERSON,FAA
GPE,Fort Worth
GPE,Texas
GPE,Boeing
GPE,Boeing
PERSON,FAA Administrator Dan Elwell
GPE,Boeing
GPE,Ethiopian Airlines
GPE,MCAS
GPE,Boeing
GPE,FAA
GPE,Boeing
GPE,Boeing
PERSON,Tamara Mathias
GPE,Bengaluru
PERSON,Anil D Standards:The Thomson
GPE,JERUSALEM
GPE,Reuters
PERSON,Facebook
GPE,FB.O
PERSON,Facebook
GPE,Israel
LOCATION,Southeast Asia
GPE,Latin America
GPE,Africa
PERSON,FILE PHOTO
PERSON,Facebook
PERSON,Facebook Inc
GPE,San Jose
GPE,California
GPE,U.S.
PERSON,REUTERS/Stephen Lam/File PhotoThe
PERSON,Facebook
PERSON,Facebook
GPE,Israel
GPE,Nigeria
GPE,Senegal
GPE,Togo
GPE,Angola
GPE,Niger
GPE,Tunisia
GPE,Latin America
LOCATION,Southeast Asia.
PERSON,Facebook
GPE,Israel
PERSON,Archimedes Group
GPE,Facebook
PERSON,Gleicher
PERSON,Archimedes
PERSON,Gleicher
PERSON,Archimedes
PERSON,Facebook
PERSON,Gleicher
PERSON,Facebook
GPE,Brazilian
GPE,Israeli
GPE,U.S.
PERSON,Gleicher
GPE,Israel
GPE,Israeli
PERSON,Steven Scheer
PERSON,Emelia Sithole-MatariseOur Standards:The Thomson
GPE,BEIJING
GPE,Reuters
GPE,China
GPE,U.S.
GPE,Huawei
GPE,China
GPE,Chinese
ORGANIZATION,Ministry
GPE,United States
GPE,Sino-U.S
GPE,Huawei
GPE,U.S. Treasury Secretary Steven Mnuchin
GPE,China
PERSON,Hopes
GPE,U.S. Commerce Department
GPE,Huawei
GPE,Chinese
GPE,U.S.
GPE,U.S.
PERSON,Donald Trump
GPE,U.S.
GPE,U.S.
GPE,Huawei
GPE,Huawei
GPE,China
PERSON,Gao Feng
GPE,Chinese
GPE,China
GPE,Chinese
GPE,U.S. Commerce Secretary Wilbur Ross
PERSON,Trump
GPE,American
GPE,U.S.
GPE,Huawei
GPE,U.S.
GPE,Huawei
GPE,United States
GPE,U.S.
GPE,U.S.
GPE,U.S.
PERSON,Related CoverageEurope
GPE,U.S.
GPE,Huawei
GPE,GermanyDutch
GPE,Huawei 'backdoor
GPE,VolkskrantSee
PERSON,Huawei
GPE,Chinese
GPE,China
PERSON,Jefferies
GPE,Beijing
GPE,Washington
GPE,Huawei
GPE,U.S.
GPE,Huawei
GPE,China
GPE,U.S.
GPE,Huawei
GPE,China
GPE,Canada
GPE,Huawei Chief Financial Officer Meng Wanzhou
PERSON,Meng
GPE,United States
PERSON,Huawei
GPE,China
ORGANIZATION,Foreign Ministry
GPE,Canadian
PERSON,Meng
GPE,Canada
GPE,China
PERSON,Meng
GPE,Canada
PERSON,UNCERTAIN OUTLOOK Trump
GPE,Chinese
PERSON,Xi Jinping
GPE,Japan
PERSON,Gao
GPE,U.S.
GPE,China
PERSON,FILE PHOTO
GPE,Huawei
GPE,Mexico City
GPE,Mexico February
PERSON,REUTERS/Daniel BecerrilForeign
GPE,Kang
GPE,China
GPE,U.S.
GPE,China
PERSON,TARIFF ESCALATION
GPE,U.S.-China
GPE,United States
GPE,Chinese
GPE,MISSING)China
GPE,U.S.
PERSON,Trump
GPE,Chinese
GPE,United States
PERSON,Gao
GPE,United States
GPE,Chinese
GPE,American
GPE,China
GPE,China
GPE,U.S.
GPE,China
GPE,China
GPE,Huawei
GPE,Shanghai
GPE,China May
GPE,SongThe
GPE,China
PERSON,Gao
PERSON,Yawen Chen
PERSON,Se Young Lee
GPE,Additional
PERSON,Michael Martina
PERSON,Ryan Woo
PERSON,Simon Cameron-Moore
PERSON,Kim CoghillOur Standards:The Thomson
GPE,German Chancellor Angela Merkel
GPE,German Sparkasse
PERSON,Deutscher Sparkassentag
GPE,Hamburg
GPE,Germany May
PERSON,REUTERS/Fabian Bimmer/File PhotoBERLIN
GPE,Reuters
GPE,German Chancellor Angela Merkel
PERSON,BDI
GPE,U.S.
GPE,Chinese
GPE,Huawei Technologies
GPE,China
GPE,U.S.
GPE,Europe
PERSON,BDI
GPE,European Union
GPE,Europe
GPE,China
GPE,United States
PERSON,Merkel
GPE,U.S.
GPE,Huawei
GPE,Germany
GPE,Germany
GPE,March
GPE,Huawei
GPE,Chinese
PERSON,BDI
GPE,German
GPE,European Commission
GPE,EU
GPE,German
PERSON,BDI
GPE,Europe-wide
PERSON,Michael Nienaber
PERSON,Kirsten DonovanOur Standards:The Thomson